by,descendants,id,kids,score,text,time,title,type,url
mixedbit,157.0,20535008,"[20537308, 20536804, 20535653, 20539292, 20539283, 20537531, 20538046, 20537105, 20539690, 20538854, 20535564, 20535608, 20535726, 20538947, 20535690, 20539426, 20535658, 20541222, 20537207, 20539127, 20536515, 20536506, 20535634, 20535641, 20536538, 20535572, 20537107, 20537769]",368,,1564151087,Firefox Reality,story,https://mixedreality.mozilla.org/firefox-reality/
rememberlenny,386.0,20536288,"[20536736, 20536555, 20538913, 20539384, 20536721, 20538296, 20536798, 20536929, 20536605, 20536912, 20536726, 20537251, 20536636, 20537561, 20536700, 20537790, 20541245, 20536727, 20536901, 20540547, 20536565, 20538009, 20538725, 20537569, 20540490, 20536536, 20537296, 20537544, 20537068, 20536990, 20538289, 20536552]",365,,1564160559,IRS sends warning letters to more than 10k cryptocurrency holders,story,https://www.wsj.com/articles/irs-sending-warning-letters-to-more-than-10-000-cryptocurrency-holders-11564159523?mod=rsswn
jacobjuul,214.0,20530350,"[20533567, 20533391, 20533467, 20530795, 20533526, 20532787, 20534778, 20530715, 20533223, 20531232, 20530735, 20531275, 20531703, 20534736, 20531355, 20531324, 20531202, 20533398, 20534593, 20534675, 20533403, 20533352, 20534982, 20534581, 20532825, 20533204, 20533023, 20533613, 20532955, 20533323, 20541950, 20532225, 20530776, 20534489, 20533146, 20535024, 20540689, 20534400, 20531226, 20533743, 20534200, 20533088, 20532793, 20531257, 20532404, 20534157, 20531199, 20533604, 20535414]",425,,1564093022,"Photographers, Instagrammers: Stop Being So Selfish and Disrespectful",story,https://petapixel.com/2019/07/22/photographers-instagrammers-stop-being-so-dmn-selfish-and-disrespectful/
anigbrowl,423.0,20551615,"[20554761, 20552145, 20554572, 20553764, 20551972, 20552390, 20557053, 20552638, 20556865, 20554343, 20556361, 20556185, 20555187, 20552525, 20551979, 20552283, 20552681, 20554396, 20554876, 20555198, 20551921, 20552115, 20553406, 20555537, 20553456, 20552886, 20552501]",382,,1564376069,The human body is already close to thermal limits in many regions,story,https://theconversation.com/heatwave-think-its-hot-in-europe-the-human-body-is-already-close-to-thermal-limits-elsewhere-121003
rchaudhary,141.0,20538614,"[20539458, 20539682, 20539162, 20539557, 20540015, 20539818, 20538959, 20539128, 20540187, 20538843, 20538789, 20541606, 20540282, 20542521, 20539277, 20538946, 20539950, 20541673, 20541032]",267,,1564177422,Wind is outpacing coal as a power source in Texas for the first time,story,https://edition.cnn.com/2019/07/25/us/texas-wind-energy-trnd/index.html
srameshc,260.0,20549804,"[20552942, 20550947, 20551312, 20552741, 20552128, 20550517, 20552336, 20556994, 20553940, 20551928, 20550711, 20551923, 20551362, 20556047, 20554586, 20552224, 20552907, 20554767, 20552234, 20553717, 20552950, 20553447, 20553762, 20553163, 20551082, 20553389, 20556507, 20552900, 20552749, 20550828, 20552880, 20551692, 20552768, 20553669, 20550951, 20552434, 20551880, 20553432, 20550998, 20551832, 20554176, 20551576]",326,,1564347445,Americans' plastic recycling is dumped in landfills,story,https://www.theguardian.com/us-news/2019/jun/21/us-plastic-recycling-landfills
FabianBeiner,137.0,20533923,"[20534802, 20537584, 20535594, 20535971, 20534643, 20537927, 20535829, 20536986, 20535257, 20534890, 20536800, 20539432, 20538627, 20537985, 20536251, 20536742, 20535303, 20535878, 20536513, 20538411, 20535700, 20539589, 20535850, 20534673, 20539944, 20536645]",283,,1564140305,Comic Code – Monospaced interpretation of the most over-hated typeface,story,https://www.myfonts.com/fonts/tabular-type-foundry/comic-code?tab=glyphs
ivanceras,95.0,20533318,"[20534607, 20533343, 20535751, 20534082, 20533736, 20533551, 20535668, 20534572, 20533575, 20533857, 20533650, 20535613, 20533991, 20536261, 20533601]",253,,1564130690,Show HN: Sauron-native – A native cross-platform GUI for Rust,story,https://github.com/ivanceras/sauron-native
prostoalex,186.0,20543646,"[20544390, 20543693, 20544966, 20543877, 20544681, 20545498, 20552911, 20545538, 20544778, 20546095, 20543783, 20545121, 20548750, 20543914, 20547866, 20546426, 20545265, 20547580, 20544402, 20545471, 20543893, 20545305, 20544664, 20544938, 20544954, 20544388, 20544253, 20544064, 20544001, 20543829, 20545991, 20545003, 20543836, 20545131]",310,,1564255451,"Meal timing strategies appear to lower appetite, improve fat burning",story,https://www.sciencedaily.com/releases/2019/07/190724103702.htm
laurex,125.0,20531955,"[20533574, 20533380, 20532900, 20532781, 20532607, 20532775, 20536316, 20534587, 20534884, 20532587, 20533886, 20533296, 20532453, 20532277, 20533189, 20534833, 20532910, 20535399, 20536048, 20533994, 20536388]",329,,1564109268,What Stress Does to the Brain,story,https://neurosciencenews.com/brain-stress-14580/
based2,112.0,20541781,"[20542301, 20542148, 20542385, 20542077, 20542099, 20542228, 20542084, 20542132, 20542960, 20542121, 20544554, 20542154, 20543061, 20543170, 20542648, 20544028, 20543022, 20543165, 20543697, 20543457, 20542926, 20543610, 20544315, 20542742, 20542187, 20543106]",262,,1564231638,Claiming your $125 from Equifax is a “moral duty”,story,https://boingboing.net/2019/07/26/soak-em.html
DVassallo,164.0,20545561,"[20547175, 20545896, 20546237, 20545857, 20546973, 20545823, 20545817, 20545842, 20545786, 20552927, 20553399, 20546364, 20547232, 20547527, 20545870, 20546141, 20545868, 20547544, 20548870, 20546755, 20545895, 20545724, 20547528, 20546119, 20545926, 20548330, 20546668]",344,,1564281601,How I use the good parts of AWS,story,https://twitter.com/dvassallo/status/1154516910265884672
headalgorithm,162.0,20535385,"[20535529, 20536627, 20540312, 20537875, 20536129, 20535967, 20536116, 20536473, 20537422, 20535521, 20537186, 20540036, 20536994, 20535623, 20535843, 20536038, 20538598, 20536233, 20535940, 20538023, 20536152, 20538359, 20535563, 20535531, 20535481, 20535588]",290,,1564153956,Japan approves first human-animal embryo experiments,story,https://www.nature.com/articles/d41586-019-02275-3
igravious,337.0,20547731,"[20548490, 20548822, 20550522, 20548888, 20548424, 20548883, 20548902, 20548528, 20548387, 20548373, 20548809, 20548455, 20549933, 20548983, 20548420, 20550282, 20548388, 20548548, 20548954, 20548363, 20548441, 20548358, 20549023, 20548980, 20548643, 20549044, 20548843, 20548574]",305,,1564324359,A Black Hole Engulfing the World's Bond Markets,story,https://www.bloomberg.com/news/articles/2019-07-13/the-black-hole-engulfing-the-world-s-bond-markets-quicktake
swamp40,151.0,20537941,"[20540789, 20540022, 20539100, 20538895, 20539081, 20538680, 20538196, 20542494, 20539820, 20540663, 20539952, 20540457, 20540354, 20540397, 20539108, 20541385, 20539640, 20539194, 20538664, 20540992, 20540976, 20541680, 20541322, 20541836, 20540614, 20538939, 20539901]",273,,1564171502,Scientists stunned by ‘city-killer’ asteroid that just missed Earth,story,https://www.seattletimes.com/nation-world/scientists-stunned-by-city-killer-asteroid-that-just-missed-earth/
jmsflknr,279.0,20552797,"[20553244, 20554457, 20553433, 20553682, 20555433, 20553316, 20553356, 20553690, 20553481, 20556000, 20553575, 20553680, 20553392, 20554981, 20554415, 20554195, 20555392, 20555543, 20553641, 20554407, 20553714, 20553569, 20553246, 20553438, 20554293, 20553374, 20553661, 20554315, 20554931, 20554285, 20554270, 20553508, 20554474, 20553524, 20553588, 20553731, 20553604, 20553423]",266,,1564392200,"GitHub confirms it has blocked developers in Iran, Syria and Crimea",story,https://techcrunch.com/2019/07/29/github-ban-sanctioned-countries/
vatueil,115.0,20539387,"[20539810, 20542057, 20540622, 20542236, 20541065, 20540718, 20541277, 20540624, 20541066, 20542642, 20549201, 20540853, 20541364, 20541325, 20541942, 20539887, 20542412, 20540162, 20540943, 20541739, 20540154, 20539889]",266,,1564185990,"Siri records fights, doctor’s appointments, and sex, and contractors hear it",story,https://arstechnica.com/gadgets/2019/07/siri-records-fights-doctors-appointments-and-sex-and-contractors-hear-it/
IRLIamOffline,54.0,20533446,"[20533842, 20534579, 20533932, 20535556, 20533671, 20536572, 20533652, 20537804, 20545555, 20536674, 20533714, 20533591, 20533627]",283,,1564132582,A friendly web development tutorial for complete beginners (2017),story,https://internetingishard.com/html-and-css/
kennethfriedman,70.0,20529001,"[20529588, 20529174, 20529089, 20531222, 20529164, 20529125, 20529087, 20529106, 20529166, 20531141]",218,,1564084937,Apple to acquire the majority of Intel's smartphone modem business,story,https://www.apple.com/newsroom/2019/07/apple-to-acquire-the-majority-of-intels-smartphone-modem-business/
resalisbury,238.0,20539012,"[20539869, 20539559, 20539383, 20539495, 20539500, 20539405, 20539453, 20539726, 20539969, 20539539, 20539809, 20540646, 20539751, 20539510, 20539817, 20539408, 20539646, 20539607, 20539367, 20539521, 20539683, 20539748, 20539990, 20539927, 20539356, 20539608, 20539345, 20539509, 20539482, 20539160, 20539395]",198,,1564181108,The Library Card Project: The Ease of Forming Anonymous Companies in the U.S.,story,https://gfintegrity.org/report/the-library-card-project/
ksajadi,119.0,20552054,"[20552520, 20553196, 20552550, 20555768, 20553830, 20552522, 20552756, 20552695, 20552999, 20552652, 20552934, 20552738, 20552495, 20552961, 20552546, 20552553]",230,,1564382965,Work on production line of Boeing 737 Max ‘not adequately funded’,story,https://www.bbc.co.uk/news/business-49142761
tosh,82.0,20547228,"[20547736, 20547834, 20547745, 20547787, 20547944, 20547969, 20547761, 20548907, 20548122, 20547965, 20548483, 20547990, 20547837, 20547811, 20549875, 20547779]",229,,1564317899,Surprisingly popular,story,https://en.wikipedia.org/wiki/Surprisingly_popular
ngaut,53.0,20531541,"[20533019, 20532874, 20532382, 20535402, 20532291, 20532241, 20533617, 20535311, 20534912, 20533912, 20534097]",241,,1564104406,SFTPGo: A Full Featured SFTP Server in Go,story,https://github.com/drakkan/sftpgo
radhakrsna,111.0,20546356,"[20546383, 20546820, 20546670, 20548694, 20546798, 20548062, 20547401, 20547044, 20547088, 20549487, 20548149, 20548874, 20547230, 20547326, 20547164, 20547759, 20547690, 20547471, 20548173, 20547031, 20547532, 20547875, 20549910, 20546640, 20547214, 20547955, 20546849, 20546657, 20546742, 20546723, 20548955, 20546865, 20546656, 20546967]",227,,1564300451,Show HN: TLDR This – Auto summarize any article or webpage in a click,story,https://tldr.hackeryogi.com/
geerlingguy,194.0,20555249,"[20555360, 20555358, 20555331, 20557198, 20555326, 20555399, 20555703, 20555362, 20555315, 20555655, 20555273, 20555498, 20555370, 20555594, 20555965, 20556844, 20555601, 20555598, 20556665, 20555494, 20555571, 20555452, 20555287, 20555347, 20555320, 20555488, 20555419, 20555321, 20555344, 20555516, 20555357, 20555647, 20556170, 20555397]",275,,1564412310,Slack Is Down,story,https://status.slack.com/2019-07/b31a6510b8caabcc
charlysl,39.0,20554194,"[20554993, 20554949, 20555633, 20555442, 20554711, 20554777, 20556615, 20555334, 20555346, 20556312, 20554885, 20554714]",266,,1564405706,Data Engineering Cookbook,story,https://github.com/andkret/Cookbook
dnetesn,85.0,20541446,"[20553759, 20553803, 20552141, 20552088, 20554729, 20551948, 20554409, 20554990, 20553882, 20553119, 20553157, 20551995, 20552014, 20552902, 20552923, 20552370, 20551862]",230,,1564225905,Drones will fly for days with new photovoltaic engine,story,https://techxplore.com/news/2019-07-drones-days-photovoltaic.html
clouddrover,287.0,20531394,"[20534399, 20532131, 20532614, 20533264, 20531619, 20531839, 20531897, 20531678, 20534946, 20535351, 20532486, 20534605, 20532030, 20532253, 20542654, 20533420, 20534602, 20534811, 20534256, 20531638, 20531879, 20532078, 20531739, 20532464, 20531655, 20532860, 20531661, 20533926, 20534567]",232,,1564102954,"A ""cure"" for baldness could be around the corner",story,https://www.theatlantic.com/health/archive/2019/07/hair-for-all/594826/
rafaelc,140.0,20545276,"[20547277, 20547085, 20546306, 20546522, 20548007, 20546655, 20548446, 20546266, 20548040, 20546658, 20547583, 20548165, 20548209, 20546453, 20546190, 20546486, 20546600]",227,,1564275917,Safe Deposit Boxes Aren't Safe,story,https://www.nytimes.com/2019/07/19/business/safe-deposit-box-theft.html
Red_Tarsius,61.0,20546288,"[20557156, 20546626, 20546611, 20546440, 20547070, 20546972, 20548423, 20546588, 20546760, 20547702, 20546654]",206,,1564299005,Canada’s Forgotten Rainforest,story,https://thenarwhal.ca/canadas-forgotten-rainforest/
doppp,108.0,20531334,"[20533236, 20531625, 20532965, 20531849, 20535016, 20535348, 20534013, 20533998, 20531809]",197,,1564102171,"Unity, now valued at $6B, raising up to $525M",story,https://techcrunch.com/2019/07/25/unity-now-valued-at-6b-raising-up-to-525m/
never-the-bride,167.0,20539978,"[20540293, 20540688, 20542629, 20540217, 20540417, 20540459, 20540273, 20540317, 20540848, 20540763, 20541671, 20540880, 20541754, 20540526, 20540591, 20542863, 20542858, 20541500, 20544602, 20540256, 20541767, 20542549, 20540421]",221,,1564193813,Why we don't use Galileo's last name (2009),story,https://slate.com/news-and-politics/2009/08/why-we-don-t-use-galileo-s-last-name.html
Balgair,224.0,20535390,"[20536287, 20535841, 20535725, 20538751, 20535645, 20535732, 20538108, 20537948, 20535617, 20536146, 20538375, 20535702, 20538293, 20536672, 20536353, 20536306, 20536031, 20537725, 20540368, 20535963, 20535535, 20538166, 20539753, 20537529, 20538105, 20540322, 20539696, 20535730, 20539163, 20535788]",191,,1564153992,More money than anyone imagined: an explanation for why the bubble never burst,story,https://www.theatlantic.com/ideas/archive/2019/07/whatever-happened-tech-bubble/594856/
